bloomberg_ticker,yahoo,data_provider,signals_ticker
093050 KS,,eodhd,093050.KQ
8083 HK,8083.HK,eodhd,8083.HK
GMXT* MF,,eodhd,GMXT.MX
DWS GR,DWS.F,eodhd,DWS.XETRA
ARCHER NO,,eodhd,ARCHER.OL
SVR US,,eodhd,SVR.US
9531 JP,9531.T,yahoo,9531.T
DCP US,,eodhd,DCP.US
INTER NA,,eodhd,INTER.AS
FCT IM,FCT.MI,eodhd,FCT.MI
SYAB GR,SYAB.BE,eodhd,SYAB.XETRA
RNT US,,eodhd,RNT.US
SMC PM,,eodhd,SMC.PSE
6196 TT,6196.TW,eodhd,6196.TW
ITG US,,eodhd,ITG.US
3618 HK,3618.HK,eodhd,3618.HK
MCRI US,MCRI,eodhd,MCRI.US
YOU GR,YOU.BE,eodhd,YOU.XETRA
RL US,RL,eodhd,RL.US
ACGL US,ACGL,eodhd,ACGL.US
CLUB US,,eodhd,CLUB.US
JHX AU,JHX.AX,eodhd,JHX.AU
LAF US,,eodhd,LAF.US
049000 KS,,eodhd,049000.KQ
UCO US,,eodhd,UCO.US
XLS US,,eodhd,XLS.US
IFCN SW,IFCN.SW,eodhd,IFCN.SW
BYG LN,,eodhd,BYG.LSE
NVE US,,eodhd,NVE.US
JACK US,JACK,eodhd,JACK.US
VMS SP,V03.SI,eodhd,V03.SG
DT US,DT,eodhd,DT.US
ASIX US,,eodhd,ASIX.US
142 HK,,eodhd,0142.HK
QTRX US,QTRX,eodhd,QTRX.US
MSBI US,MSBI,eodhd,MSBI.US
FOA US,,eodhd,FOA.US
PS US,,eodhd,PS.US
ARE LN,,eodhd,ARE.LSE
SFNT US,,eodhd,SFNT.US
GLDN US,,eodhd,GLDN.US
CUTR US,CUTR,eodhd,CUTR.US
EVO SS,EVO.ST,eodhd,EVO.ST
DIGI MK,6947.KL,eodhd,6947.KLSE
CVNA US,CVNA,eodhd,CVNA.US
6758 JP,6758.T,yahoo,6758.T
TH US,TH,eodhd,TH.US
XOG US,,eodhd,XOG.US
CNE LN,CNE.L,eodhd,CNE.LSE
ANAC US,,eodhd,ANAC.US
OCDO LN,OCDO.L,eodhd,OCDO.LSE
HOLN SW,HOLN.SW,eodhd,HOLN.SW
PROJ US,,eodhd,PROJ.US
ET US,,eodhd,ET.US
BSK GR,,eodhd,BSK.F
